; 				LaTeX热键触发表

; 每行用Tab键，最多分出3个字段
; 第1个字段代表LaTex“键”
; 第2个字段代表LaTex对应“Unicode”或“文字描述”
; 第3个字段（如果存在的话）代表LaTex对应“LaTex块”
; 如果第2个字段以:开头，表明只适用于unicode模式. 【这种情况下禁止“第1个字段”在“第2个字段”中完整出现】
; “第1个字段”在“第2个字段”中完整出现，表明只适用于latex助手模式. 【这种情况下禁止如果第2个字段以:开头】



; 下标和上标 https://katex.org/docs/supported.html#line-breaks

_0	:₀
^0	:⁰
_1	:₁
^1	:¹
_2	:₂
^2	:²
_3	:₃
^3	:³
_4	:₄
^4	:⁴
_5	:₅
^5	:⁵
_6	:₆
^6	:⁶
_7	:₇
^7	:⁷
_8	:₈
^8	:⁸
_9	:₉
^9	:⁹
_+	:₊
^+	:⁺
_-	:₋
^-	:⁻
_=	:₌
^=	:⁼
_(	:₍
^(	:⁽
_)	:₎
^)	:⁾
_a	:ₐ
^a	:ᵃ
^b	:ᵇ
^c	:ᶜ
^d	:ᵈ
_e	:ₑ
^e	:ᵉ
^f	:ᶠ
^g	:ᵍ
_h	:ₕ
^h	:ʰ
_i	:ᵢ
^i	:ⁱ
_j	:ⱼ
^j	:ʲ
_k	:ₖ
^k	:ᵏ
_l	:ₗ
^l	:ˡ
_m	:ₘ
^m	:ᵐ
_n	:ₙ
^n	:ⁿ
_o	:ₒ
^o	:ᵒ
_p	:ₚ
^p	:ᵖ
_r	:ᵣ
^r	:ʳ
_s	:ₛ
^s	:ˢ
_t	:ₜ
^t	:ᵗ
_u	:ᵤ
^u	:ᵘ
_v	:ᵥ
^v	:ᵛ
^w	:ʷ
_x	:ₓ
^x	:ˣ
^y	:ʸ
^z	:ᶻ
_\beta	:ᵦ
^\beta	:ᵝ
_\gamma	:ᵧ
^\gamma	:ᵞ
_\chi	:ᵪ
^\chi	:ᵡ
^\theta	:ᶿ
_\rho	:ᵨ
_\psi	:ᵩ
_\partial	:ₔ
^\delta	:ᵟ
^\phi	:ᵠ

; 分割符 https://katex.org/docs/supported.html#delimiters

\vert	∣
\Vert	∥
\|	∥
\lVert	∥
\rVert	∥
\langle	⟨
\rangle	⟩
\lceil	⌈
\rceil	⌉
\lfloor	⌊
\rfloor	⌋
\lmoustache	⎰
\rmoustache	⎱
\lgroup	⟮
\rgroup	⟯
\ulcorner	┌
\urcorner	┐
\llcorner	└
\lrcorner	┘
\lang	⟨
\rang	⟩
\backslash	\
\lbrace	{
\rbrace	}
\lbrack	[
\rbrack	]
\lvert	∣
\rvert	∣


; 希腊字母

\alpha	α
\Alpha	Α
\beta	β
\Beta	Β
\Gamma	Γ
\gamma	γ
\Delta	Δ
\delta	δ
\Epsilon	E
\epsilon	ϵ
\Zeta	Ζ
\zeta	ζ
\Eta	Η
\eta	η
\Theta	Θ
\theta	θ
\Iota	Ι
\iota	ι
\Kappa	Κ
\kappa	κ
\Lambda	Λ
\lambda	λ
\Mu	Μ
\mu	μ
\Nu	Ν
\nu	ν
\Xi	Ξ
\xi	ξ
\Omicron	Ο
\omicron	ο
\Pi	Π
\pi	π
\rho	ρ
\Rho	Ρ
\Sigma	Σ
\sigma	σ
\Tau	Τ
\tau	τ
\Upsilon	Υ
\upsilon	υ
\Phi	Φ
\phi	ϕ
\Chi	Χ
\chi	χ
\Psi	Ψ
\psi	ψ
\Omega	Ω
\omega	ω
\varGamma	Γ
\varDelta	Δ
\varTheta	Θ
\varLambda	Λ
\varXi	Ξ
\varPi	Π
\varSigma	Σ
\varUpsilon	Υ
\varPhi	Φ
\varPsi	Ψ
\varOmega	Ω
\varepsilon	ε
\varkappa	ϰ
\vartheta	ϑ
\thetasym	ϑ
\varpi	ϖ
\varrho	ϱ
\varsigma	ς
\varphi	φ
\digamma	ϝ


; 一些特殊符号

\Im	ℑ
\Reals	ℝ
\partial	∂
\image	ℑ
\wp	℘
\aleph	ℵ
\Game	⅁
\weierp	℘
\O	Ø
\alef	ℵ
\Finv	Ⅎ
\alefsym	ℵ
\cnums	ℂ
\natnums	ℕ
\beth	ℶ
\Complex	ℂ
\gimel	ℷ
\ell	ℓ
\Re	ℜ
\daleth	ℸ
\hbar	ℏ
\real	ℜ
\eth	ð
\hslash	ℏ
\reals	ℝ
\AA	Å
\imath	ı
\jmath	ȷ
\Bbbk	𝕜
\N	ℕ
\R	ℝ
\Z	ℤ
\And	∧
\bull	•
\diagdown	╲
\diagup	╱
\colon	:


; 逻辑和集合

\forall	∀
\exists	∃
\exist	∃
\nexists	∄
\complement	∁
\therefore	∴
\because	∵
\emptyset	∅
\empty	∅
\varnothing	∅
\neg	¬
\lnot	¬
\ni	∋


; 大运算符

\sum	∑
\prod	∏
\bigotimes	⊗
\bigvee	⋁
\int	∫
\intop	∫
\smallint	∫
\iint	∬
\iiint	∭
\oint	∮
\oiint	∯
\oiiint	∰
\coprod	∐
\bigoplus	⨁
\bigwedge	⋀
\bigodot	⊙
\bigcap	⋂
\biguplus	⨄
\bigcup	⋃
\bigsqcup	⨆


; 二元运算符

\cdot	⋅
\cdotp	⋅
\gtrdot	⋗
\intercal	⊺
\centerdot	⋅
\land	∧
\rhd	⊳
\circ	∘
\leftthreetimes	⋋
\rightthreetimes	⋌
\amalg	⨿
\circledast	⊛
\ldotp	.
\rtimes	⋊
\circledcirc	⊚
\lor	∨
\ast	∗
\circleddash	⊝
\lessdot	⋖
\barwedge	⊼
\Cup	⋓
\lhd	⊲
\sqcap	⊓
\bigcirc	◯
\cup	∪
\ltimes	⋉
\sqcup	⊔
\curlyvee	⋎
\times	×
\boxdot	⊡
\curlywedge	⋏
\pm	±
